sp,cl,period,count,R_squared,F_value,std_error_intercept,std_error,coefficient_intercept,coefficient,p_value_intercept,p_value,significance_intercept,significance
Acer pseudoplatanus,1,2013,421,"0,0003","0,1352","0,0417","0,0217","0,3842","-0,0080","0,00000000000000000144","0,7133",*,
Acer pseudoplatanus,1,2016,206,"0,0159","3,2929","0,0637","0,0326","0,5210","-0,0592","0,0000000000000","0,0710",*,
Acer pseudoplatanus,2,2013,267,"0,0083","2,2135","0,0408","0,0198","0,3108","-0,0294","0,0000000000005","0,1380",*,
Acer pseudoplatanus,2,2016,181,"0,0470","8,8376","0,0562","0,0301","0,5869","-0,0895","0,0000000000000","0,0034",*,*
Acer campestre,1,2016,159,"0,0076","1,1956","0,0961","0,0556","0,3033","0,0608","0,0019108353593","0,2759",*,
Acer campestre,2,2016,229,"0,0001","0,0151","0,0669","0,0382","0,3619","-0,0047","0,0000001623391","0,9024",*,
Fraxinus excelsior,1,2013,333,"0,0478","16,6095","0,0411","0,0216","0,1404","0,0882","0,0007131060421","0,0001",*,*
Fraxinus excelsior,1,2016,412,"0,0294","12,4394","0,0384","0,0209","0,0788","0,0736","0,0409218687380","0,0005",*,*
Fraxinus excelsior,2,2013,21,"0,0009","0,0165","0,0887","0,0500","0,1380","0,0064","0,1363965705875","0,8991",,
Fraxinus excelsior,2,2016,63,"0,0006","0,0396","0,1367","0,0770","0,0949","0,0153","0,4901015772578","0,8428",,
Carpinus betulus,1,2013,91,"0,0206","1,8753","0,0914","0,0536","0,4598","-0,0734","0,0000025197048","0,1743",*,
Carpinus betulus,1,2016,142,"0,0028","0,3898","0,0796","0,0439","0,2848","0,0274","0,0004753209378","0,5334",*,
Carpinus betulus,2,2013,178,"0,0435","8,0082","0,0442","0,0258","0,4034","-0,0729","0,0000000000000","0,0052",*,*
Carpinus betulus,2,2016,162,"0,0103","1,6614","0,0961","0,0521","0,4107","-0,0671","0,0000330526313","0,1993",*,
Acer platanoides,1,2013,128,"0,0017","0,2177","0,0693","0,0404","0,3835","0,0189","0,0000001708972","0,6416",*,
Acer platanoides,2,2013,254,"0,0015","0,3792","0,0469","0,0248","0,3066","0,0153","0,0000000003430","0,5386",*,
Quercus robur,1,2013,124,"0,1019","13,8423","0,0717","0,0345","0,1000","0,1284","0,1653437914976","0,0003",,*
Quercus robur,1,2016,243,"0,0001","0,0184","0,0783","0,0361","0,3397","0,0049","0,0000213324004","0,8922",*,
Ulmus spp.,1,2013,225,"0,0004","0,0832","0,0557","0,0324","0,2917","0,0093","0,0000003780439","0,7732",*,
Ulmus spp.,1,2016,214,"0,0048","1,0248","0,0706","0,0379","0,2751","0,0384","0,0001300071466","0,3125",*,
Ulmus spp.,2,2013,425,"0,0060","2,5501","0,0387","0,0228","0,1672","0,0364","0,0000198168198","0,1110",*,
Ulmus spp.,2,2016,321,"0,0006","0,1962","0,0491","0,0294","0,3123","-0,0130","0,0000000006814","0,6581",*,
Tilia spp.,1,2013,245,"0,0023","0,5657","0,0539","0,0299","0,2798","-0,0225","0,0000004300672","0,4527",*,
Tilia spp.,1,2016,109,"0,0032","0,3406","0,0826","0,0428","0,1350","0,0250","0,1052130684722","0,5607",,
Tilia spp.,2,2013,244,"0,0029","0,7074","0,0429","0,0244","0,1553","0,0206","0,0003601864288","0,4011",*,
Tilia spp.,2,2016,137,"0,0091","1,2408","0,0671","0,0395","0,2709","-0,0440","0,0000903491174","0,2673",*,
