sp,cl,period,count,pseudo_R_squared,LR_chi_square,std_error_intercept,std_error,coefficient_intercept,coefficient,p_value_intercept,p_value,significance_intercept,significance
Acer pseudoplatanus,1,2013,491,"-0,0311","11,8956","0,5092","0,2962","-0,1422","-0,9699","0,78","0,0011",,*
Acer pseudoplatanus,1,2016,265,"-0,0211","5,6352","0,6067","0,2902","-2,6535","0,6779",0,"0,0195",*,*
Acer pseudoplatanus,2,2013,314,"-0,0009","0,2302","0,5441","0,2682","-1,5118","-0,1281","0,0055","0,6329",*,
Acer pseudoplatanus,2,2016,218,"-0,0001","0,0152","0,5662","0,3044","-1,5543","-0,0375","0,0061","0,902",*,
Acer campestre,1,2016,166,"-0,0184","0,8104","1,6471","0,8555","-4,8731","0,7989","0,0031","0,3504",*,
Acer campestre,2,2016,239,"-0,0065","0,4068","1,3673","0,8447","-2,6714","-0,5157","0,0507","0,5416",,
Fraxinus excelsior,1,2013,370,"-0,032","7,327","0,7335","0,4276","-0,2631","-1,1266","0,7199","0,0084",,*
Fraxinus excelsior,1,2016,531,"-0,0008","0,4426","0,4004","0,219","-1,073","-0,1454","0,0074","0,5066",*,
Fraxinus excelsior,2,2013,37,"-0,0442","2,1405","1,1415","0,6921","1,2816","-0,9789","0,2615","0,1573",,
Fraxinus excelsior,2,2016,93,"-0,0191","2,13","1,0407","0,6195","0,6331","-0,8874","0,543","0,152",,
Carpinus betulus,1,2013,94,"-0,0193","0,5036","2,4795","1,5946","-1,6483","-1,1143","0,5062","0,4847",,
Carpinus betulus,1,2016,148,"-0,0125","0,2622","2,9146","1,4701","-5,7068","0,7702","0,0502","0,6003",,
Carpinus betulus,2,2013,182,"-0,001","0,0383","1,6716","1,0036","-3,4796","-0,1961","0,0374","0,8451",*,
Carpinus betulus,2,2016,169,"-0,0056","0,2908","1,9779","1,0233","-4,3338","0,5584","0,0284","0,5853",*,
Acer platanoides,1,2013,140,"-0,0634","4,8853","1,1738","0,8071","0,172","-1,6798","0,8835","0,0374",,*
Acer platanoides,2,2013,265,"-0,2893","17,633","1,6557","1,2579","3,0182","-4,258","0,0683","0,0007",,*
Quercus robur,1,2013,147,"-0,0136","1,7054","0,8762","0,4549","-0,588","-0,5729","0,5022","0,2078",,
Quercus robur,1,2016,268,"-0,0527","7,856","1,0677","0,4375","-5,0756","1,1983",0,"0,0062",*,*
Ulmus spp.,1,2013,266,"-0,0023","0,5293","0,6717","0,4016","-1,2275","-0,2903","0,0676","0,4698",,
Ulmus spp.,1,2016,285,"-0,0004","0,1113","0,5728","0,3101","-1,0134","-0,1035","0,0768","0,7384",,
Ulmus spp.,2,2013,508,0,"0,0065","0,5255","0,3086","-1,5921","-0,0248","0,0024","0,936",*,
Ulmus spp.,2,2016,377,"-0,0011","0,3484","0,4695","0,2751","-2,0288","0,1629",0,"0,5538",*,
Tilia spp.,1,2013,264,"-0,0049","0,6388","1,0606","0,5643","-3,4204","0,4494","0,0013","0,4258",*,
Tilia spp.,1,2016,118,"-0,0009","0,0442","1,9398","1,0194","-2,5231","-0,2154","0,1934","0,8327",,
Tilia spp.,2,2013,254,"-0,0122","0,934","1,1466","0,7125","-2,2005","-0,6857","0,055","0,3359",,
Tilia spp.,2,2016,144,"-0,0902","4,1286","1,6425","0,7836","-6,102","1,6182","0,0002","0,0389",*,*
